,timestamp,value
0,1,7350
1,2,6442
2,3,6057
3,4,7012
4,5,8847
5,6,11371
6,7,13525
7,8,15386
8,9,15896
9,10,15746
10,11,15649
11,12,15659
12,13,15500
13,14,15366
14,15,15478
15,16,14990
16,17,15355
17,18,15119
18,19,14839
19,20,14805
20,21,14275
21,22,12903
22,23,10961
23,24,8787
24,25,7812
25,26,6680
26,27,6257
27,28,6308
28,29,7280
29,30,9336
30,31,12667
31,32,15005
32,33,16350
33,34,16389
34,35,16218
35,36,15534
36,37,14910
37,38,14631
38,39,14470
39,40,14113
40,41,13787
41,42,13801
42,43,13936
43,44,13726
44,45,13358
45,46,12401
46,47,10518
47,48,8577
48,49,6967
49,50,6118
50,51,5669
51,52,5783
52,53,6323
53,54,8402
54,55,11278
55,56,13790
56,57,14977
57,58,15825
58,59,15489
59,60,15730
60,61,15376
61,62,15287
62,63,15609
63,64,15048
64,65,14323
65,66,15569
66,67,15937
67,68,16062
68,69,15095
69,70,13024
70,71,12368
71,72,9260
72,73,8320
73,74,7209
74,75,6837
75,76,7286
76,77,8674
77,78,11204
78,79,14640
79,80,16709
80,81,18053
81,82,18802
82,83,18439
83,84,18221
84,85,17627
85,86,17176
86,87,17313
87,88,16959
88,89,17243
89,90,17880
90,91,18432
91,92,18417
92,93,17092
93,94,14433
94,95,11884
95,96,9740
96,97,7832
97,98,7008
98,99,6479
99,100,7356
100,101,9571
101,102,12289
102,103,14736
103,104,16431
104,105,17087
105,106,17613
106,107,17375
107,108,17193
108,109,16740
109,110,16726
110,111,17250
111,112,17300
112,113,17496
113,114,17903
114,115,18664
115,116,18582
116,117,17423
117,118,14343
118,119,11467
119,120,9196
120,121,6980
121,122,5968
122,123,5829
123,124,6515
124,125,8669
125,126,10878
126,127,12862
127,128,14022
128,129,14433
129,130,14864
130,131,15035
131,132,14904
132,133,15281
133,134,14769
134,135,14858
135,136,15288
136,137,14952
137,138,15348
138,139,15824
139,140,16156
140,141,14775
141,142,12562
142,143,20238
143,144,21157
144,145,17035
145,146,9565
146,147,7731
147,148,7303
148,149,8990
149,150,11326
150,151,13192
151,152,14487
152,153,15413
153,154,15250
154,155,15095
155,156,14936
156,157,17225
157,158,16199
158,159,15092
159,160,15254
160,161,15692
161,162,15326
162,163,15957
163,164,16018
164,165,14686
165,166,12038
166,167,9900
167,168,8186
168,169,6937
169,170,5922
170,171,5626
171,172,6834
172,173,8600
173,174,10667
174,175,12452
175,176,14100
176,177,14710
177,178,14762
178,179,14763
179,180,14480
180,181,14236
181,182,14362
182,183,14836
183,184,14641
184,185,14336
185,186,14096
186,187,14163
187,188,14158
188,189,13141
189,190,11648
190,191,9586
191,192,8216
192,193,6918
193,194,6193
194,195,5814
195,196,5849
196,197,6637
197,198,8939
198,199,11524
199,200,13752
200,201,15138
201,202,15338
202,203,14983
203,204,14692
204,205,13981
205,206,13685
206,207,13178
207,208,12849
208,209,12891
209,210,12735
210,211,12600
211,212,12722
212,213,12535
213,214,11437
214,215,9783
215,216,8112
216,217,6944
217,218,6165
218,219,5615
219,220,5781
220,221,6506
221,222,8436
222,223,11060
223,224,12916
224,225,14021
225,226,14388
226,227,14153
227,228,14432
228,229,14175
229,230,14170
230,231,13467
231,232,13732
232,233,13913
233,234,14303
234,235,15015
235,236,15101
236,237,14358
237,238,12463
238,239,10251
239,240,8589
240,241,7263
241,242,6392
