datetime,EventId
2017-05-16 00:00:00,"[1, 1]"
2017-05-16 00:00:01,"[1, 1]"
2017-05-16 00:00:03,"[1, 1]"
2017-05-16 00:00:04,"[2, 2, 3, 1]"
2017-05-16 00:00:05,"[1, 4, 5, 6]"
2017-05-16 00:00:06,"[1, 1]"
2017-05-16 00:00:07,[1]
2017-05-16 00:00:08,[1]
2017-05-16 00:00:09,"[1, 1]"
2017-05-16 00:00:10,"[7, 1, 2, 8, 9, 3, 2, 4, 5, 10, 6, 1]"
2017-05-16 00:00:11,[1]
2017-05-16 00:00:13,[11]
2017-05-16 00:00:14,"[12, 13, 14]"
2017-05-16 00:00:15,"[4, 5, 6]"
2017-05-16 00:00:16,"[1, 1]"
2017-05-16 00:00:17,"[1, 1, 1, 1, 15, 8, 1, 1]"
2017-05-16 00:00:18,"[15, 16, 9, 1]"
2017-05-16 00:00:19,[10]
2017-05-16 00:00:20,"[1, 6, 6, 6]"
2017-05-16 00:00:21,"[17, 1]"
2017-05-16 00:00:30,"[1, 1]"
2017-05-16 00:00:31,"[18, 19, 20, 21, 22, 21, 22, 19, 1, 1, 19]"
2017-05-16 00:00:32,"[1, 2]"
2017-05-16 00:00:33,[1]
2017-05-16 00:00:34,"[1, 1]"
2017-05-16 00:00:35,[1]
2017-05-16 00:00:36,[1]
2017-05-16 00:00:37,"[1, 1]"
2017-05-16 00:00:38,[1]
2017-05-16 00:00:39,[1]
2017-05-16 00:00:40,"[1, 1]"
2017-05-16 00:00:42,"[1, 1]"
2017-05-16 00:00:43,"[1, 1]"
2017-05-16 00:00:44,"[2, 2, 3]"
2017-05-16 00:00:45,"[1, 4, 5, 1, 6]"
2017-05-16 00:00:46,"[1, 1]"
2017-05-16 00:00:48,"[1, 1]"
2017-05-16 00:00:49,[1]
2017-05-16 00:00:50,"[1, 4, 5, 6]"
2017-05-16 00:00:51,"[1, 1, 7, 1, 2, 8, 9, 3, 2, 10]"
2017-05-16 00:00:52,[1]
2017-05-16 00:00:53,[1]
2017-05-16 00:00:55,"[4, 5, 6]"
2017-05-16 00:00:57,[23]
2017-05-16 00:00:58,"[1, 1, 1, 1, 1]"
2017-05-16 00:00:59,"[1, 1, 1, 1, 1, 1, 1, 19, 1, 1, 24, 8]"
2017-05-16 00:01:00,"[15, 16, 9]"
2017-05-16 00:01:01,"[1, 10, 6, 6, 6]"
